Entity,Code,Depopulation_Risk_Score,Depopulation_Category,Super_Aged_Risk_Score,Super_Aged_Category,Actual_Depopulation_Flag,Actual_Super_Aged_Flag
Lebanon,LBN,0.0244,Low Risk,0.0084,Non-Super-Aged,0,0
Lesotho,LSO,0.0047,Low Risk,0.0,Non-Super-Aged,0,0
Liberia,LBR,0.0001,Low Risk,0.0,Non-Super-Aged,0,0
Libya,LBY,0.0055,Low Risk,0.0,Non-Super-Aged,0,0
Liechtenstein,LIE,0.2915,Low Risk,1.0,Super-Aged Expected,0,1
Lithuania,LTU,0.9762,High Risk,1.0,Super-Aged Expected,1,1
Luxembourg,LUX,0.0289,Low Risk,1.0,Super-Aged Expected,0,1
Macao,MAC,0.2455,Low Risk,1.0,Super-Aged Expected,0,1
Madagascar,MDG,0.0001,Low Risk,0.0,Non-Super-Aged,0,0
Malawi,MWI,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Malaysia,MYS,0.0052,Low Risk,0.0238,Non-Super-Aged,0,0
Maldives,MDV,0.0905,Low Risk,0.4334,Non-Super-Aged,0,1
Mali,MLI,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Malta,MLT,0.297,Low Risk,1.0,Super-Aged Expected,0,1
Marshall Islands,MHL,1.0,High Risk,0.0,Non-Super-Aged,1,0
Martinique,MTQ,0.9949,High Risk,1.0,Super-Aged Expected,1,1
Mauritania,MRT,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Mauritius,MUS,0.6989,High Risk,0.9966,Super-Aged Expected,1,1
Mayotte,MYT,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Mexico,MEX,0.0192,Low Risk,0.0021,Non-Super-Aged,0,0
Micronesia (country),FSM,0.0868,Low Risk,0.0,Non-Super-Aged,1,0
Moldova,MDA,0.9829,High Risk,0.9946,Super-Aged Expected,1,1
Monaco,MCO,0.9959,High Risk,1.0,Super-Aged Expected,1,1
Mongolia,MNG,0.0076,Low Risk,0.0,Non-Super-Aged,0,0
Montenegro,MNE,0.9409,High Risk,1.0,Super-Aged Expected,1,1
Montserrat,MSR,0.9834,High Risk,1.0,Super-Aged Expected,1,1
Morocco,MAR,0.0204,Low Risk,0.0024,Non-Super-Aged,0,0
Mozambique,MOZ,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Myanmar,MMR,0.0423,Low Risk,0.0,Non-Super-Aged,0,0
Namibia,NAM,0.0003,Low Risk,0.0,Non-Super-Aged,0,0
Nauru,NRU,0.0421,Low Risk,0.0,Non-Super-Aged,0,0
Nepal,NPL,0.1307,Low Risk,0.0,Non-Super-Aged,0,0
Netherlands,NLD,0.2121,Low Risk,1.0,Super-Aged Expected,0,1
New Caledonia,NCL,0.0409,Low Risk,0.941,Super-Aged Expected,0,1
New Zealand,NZL,0.1055,Low Risk,1.0,Super-Aged Expected,0,1
Nicaragua,NIC,0.0028,Low Risk,0.0,Non-Super-Aged,0,0
Niger,NER,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Nigeria,NGA,0.0003,Low Risk,0.0,Non-Super-Aged,0,0
Niue,NIU,0.4444,Moderate Risk,0.417,Non-Super-Aged,1,0
North Korea,PRK,0.2651,Low Risk,0.9025,Super-Aged Expected,0,1
North Macedonia,MKD,0.9324,High Risk,1.0,Super-Aged Expected,1,1
Northern Mariana Islands,MNP,0.9956,High Risk,0.9987,Super-Aged Expected,1,1
Norway,NOR,0.2716,Low Risk,1.0,Super-Aged Expected,0,1
Oman,OMN,0.0,Low Risk,0.0015,Non-Super-Aged,0,0
Pakistan,PAK,0.001,Low Risk,0.0,Non-Super-Aged,0,0
Palau,PLW,0.8129,High Risk,0.7977,Super-Aged Expected,1,1
Palestine,PSE,0.0003,Low Risk,0.0,Non-Super-Aged,0,0
Panama,PAN,0.0071,Low Risk,0.0878,Non-Super-Aged,0,0
Papua New Guinea,PNG,0.0007,Low Risk,0.0,Non-Super-Aged,0,0
Paraguay,PRY,0.0057,Low Risk,0.0,Non-Super-Aged,0,0
Peru,PER,0.0118,Low Risk,0.0279,Non-Super-Aged,0,0
Philippines,PHL,0.0116,Low Risk,0.0,Non-Super-Aged,0,0
Poland,POL,0.8807,High Risk,1.0,Super-Aged Expected,1,1
